id,fund,name,slug,fund_url,sectors,website,description,stage,stage_year,founded_year,invested_year,logo_url,source_modified,ticker_symbol,acquirer,founders
24,gsv-ventures,DISCO,disco,https://gsv.ventures/portfolio/,,https://www.disco.co,DISCO is a platform for creators to build and scale their live learning empire easily in one place.,,,,,https://gsv.ventures/wp-content/uploads/2022/02/DISCO_Logo.png,,,,Candice Faktor;Co-founder & Chris Sukornyk;Co-founder
25,gsv-ventures,Domestika,domestika,https://gsv.ventures/portfolio/,,https://www.domestika.org/en,"Domestika is the fastest-growing creative community where the best creative experts share their knowledge and skills through professionally produced online courses. It all started as an online forum and a small but dynamic showcase of creative professionals, designed to help them connect and learn from each other.",,,,,https://gsv.ventures/wp-content/uploads/2022/02/image.png,,,,Julio G. Cotorruelo;Co-Founder & CEO & Tomy Pelluz;Co-Founder
26,gsv-ventures,Dreamscape Learn,dreamscape-learn,https://gsv.ventures/portfolio/,,https://www.dreamscapelearn.com/,"The promise of Dreamscape Learn was made in late 2019, when Michael Crow, President of Arizona State University, the nation’s largest and, for eight years running, “most innovative” university, visited a unique virtual reality entertainment center in Los Angeles, California called “Dreamscape Immersive.”.",,,2022,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-Dreamscape-Learn.png,,,,Walter Parkes & Josh Reibel
27,gsv-ventures,Ednition,ednition,https://gsv.ventures/portfolio/,,https://www.ednition.com/,Reclaim rostering.,,,,,https://gsv.ventures/wp-content/uploads/2025/12/download-9.png,,,,
28,gsv-ventures,Ethena,ethena,https://gsv.ventures/portfolio/,,https://www.goethena.com/about-us,"Ethena provides sexual harassment training teams don’t hate. Compared to cringe-worthy, ineffective videos, Ethena’s evidence-based approach delivers personalized content in frequent, digestible doses via email and Slack nudges. Ethena handle details like reminders and compliance tracking, and keeps teams continually in compliance with evidence-based content that meets the newest regulations.",,,,,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-ethena-logo.png,,,,Roxanne Petraeus;Co-Founder & CEO; Anne Solmssen;Co-Founder & CTO
29,gsv-ventures,Fairygodboss,fairygodboss,https://gsv.ventures/portfolio/,Future of Talent@Work,https://fairygodboss.com/,"In a market starved for disruption and transparency, Fairygodboss is an online community improving the workplace for women. Today, one million women are turning to Fairygodboss every month for job and company reviews, salary info, career advice, and job postings at companies women love.",Seed,,2015,2018,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-fairygodboss-logo.png,,,,Georgene Huang;CEO & Co-Founder; Romy Newman;President & Co-Founder
30,gsv-ventures,Filo,filo,https://gsv.ventures/portfolio/,,https://askfilo.com/en-us,"Filo is the world’s only live instant tutoring app where students are connected with expert tutors in lessthan 60 seconds for 1-1, interactive video sessions.",,,2020,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-filo.png,,,,Imbesat Ahmad & Shadman Anwar
31,gsv-ventures,FrontRow,frontrow,https://gsv.ventures/portfolio/,,https://frontrow.co.in/,"FrontRow is building the leading online platform for passion learning in India. The startup offers asynchronous celebrity-led courses, live expert-led courses, and community activities like competitions. Instructors include cricketer Suresh Raina and singer Neha Kakkar.",Series A,,,,https://gsv.ventures/wp-content/uploads/2021/09/gsvventures-portfolio-frontrow-logo.png,,,,Mikhil Raj;Co-Founder; Ishaan Preet Singh;Co-Founder; Shubhadit Sharma;Co-Founder
32,gsv-ventures,Glimpse,glimpse,https://gsv.ventures/portfolio/,Future of Talent in PreK-12,https://www.glimpsek12.com/,Glimpse is trying to cut ineffective spending at schools. The company meshes education institutions’ accounting systems with student achievement data to help education institutions understand what they’re pumping money into and see where they’re getting the best return on investment when it comes to positive student outcomes.,Seed,,2017,2018,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-glimpse-logo.png,,,,Co-Founders Nicole Pezent & Adam Pearson
33,gsv-ventures,GoodTime,goodtime,https://gsv.ventures/portfolio/,Enterprise & Workforce,https://www.goodtime.io/,GoodTime is a scheduling automation software that helps enterprises streamline the interview process.,Series A,,2018,2016,https://gsv.ventures/wp-content/uploads/2020/11/LOGO-Goodtime.png,,,,Ahryun Moon
34,gsv-ventures,Gradescope,gradescope,https://gsv.ventures/portfolio/,Future of Talent in Post-Secondary,https://www.gradescope.com/,"Run by a team of MS and PhD graduates from Stanford and UC-Berkeley, Gradescope has created a modern, concept-based assessment platform that leverages machine learning to turn grading into an automated, highly repetitive exercise. Having aggregated a dataset of 300K+ graded STEM questions alongside detailed rubrics and 37M+ graded answers for 300+ universities including UC-Berkeley, Stanford, Harvard, MIT, Duke, Brown, and the University of Michigan, Gradescope is becoming the “GitHub for higher education.”",Seed,,2014,2018,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-gradescope-logo.png,,,,Arjun Singh;Co-Founder & CEO; Sergey Karayev;Co-Founder; Pieter Abbeel;Co-Founder
35,gsv-ventures,Guild,guild,https://gsv.ventures/portfolio/,Enterprise & Workforce,https://www.guildeducation.com/,"Guild Education is a lifelong learning platform that offers classes, programs, and degrees for working adults.",Series D,,2015,2020,https://gsv.ventures/wp-content/uploads/2020/11/Guild_Logo_Charcoal-3.png,,,,Rachel Carlson
36,gsv-ventures,Handshake,handshake,https://gsv.ventures/portfolio/,,https://joinhandshake.com/,"Handshake is the best place to start, jumpstart or restart a career—no connections, experience, or luck required.",Series A,,2014,2016,https://gsv.ventures/wp-content/uploads/2020/11/Handshake.png,,,,Garrett Lord;CEO & Co-Founder; Scott Ringwelski;CTO & Co-Founder; Ben Christensen;Co-Founder
37,gsv-ventures,Hellosaurus,hellosaurus,https://gsv.ventures/portfolio/,PK-12,https://www.hellosaurus.com/,"Hellosaurus is an e-learning platform that offers creative programs, fun activities, and video classes for kids.",Seed,,2020,2020,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-hellosaurus-logo.png,,,,James Ruben
38,gsv-ventures,Hireguide,hireguide,https://gsv.ventures/portfolio/,,https://www.hireguide.com/,"Hireguide is an end-to-end interview management system that makes hiring decisions faster, fairer, and twice as predictive of on-the-job employee performance. Hiring a dream team is no easy task, but with cutting-edge AI and rigorously researched behavioural science, Hireguide can help you truly operationalize skill-based, structured interviews, enabling you to find those star candidates who will propel your business to new heights.",,,,,https://gsv.ventures/wp-content/uploads/2025/12/Hireguide.png,,,,
39,gsv-ventures,Hustle,hustle,https://gsv.ventures/portfolio/,Future of Talent@Work,https://www.hustle.com/,"Hustle is a one-to-one text messaging platform that scales and humanizes the way that organizations communicate with people. Founded in 2014 as a tool to help advocacy organizations conduct meaningful one-to-one texting conversations with their members, Hustle quickly saw success in the 2016 election cycle, where it helped more than 100 campaigns and political groups, scale and humanize their ability to communicate with millions of voters and volunteers. Since its founding, Hustle has helped clients — political groups, colleges and universities, workforce organzations — manage more than 38 million one-to-one conversations with more than 25 million people across the United States, Canada, and Australia.",Series A,,2014,2017,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-hustle-logo.png,,,,Roddy Lindsay;CEO & Co-Founder
40,gsv-ventures,Intellispark,intellispark,https://gsv.ventures/portfolio/,K-12,https://intellispark.com/,"Intellispark is redefining how schools, families, and communities work together to prepare successful, future-ready kids. Parents and educators agree that education is about much more than academic proficiency, yet today education data mostly means grades and test scores. It’s time to give schools, families, and communities the instrumentation they need to measure development of the whole child while ensuring every child gets the support she needs to succeed in school and in life.",Seed,,2017,2019,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-intellispark-logo.png,,,,Stephen Smith;CEO
41,gsv-ventures,Kyron Learning,kyron-learning,https://gsv.ventures/portfolio/,,https://www.kyronlearning.com/,"Kyron Learning is built on the idea that great education starts with great teachers and that students succeed most when they have access to high-quality, one-on-one feedback.",,,2022,,https://gsv.ventures/wp-content/uploads/2023/08/LOGO-Kyron-Learning.png,,,,Rajen Sheth CEO and Co-founder & Enis Konuk;CTO and Co-founder
42,gsv-ventures,Learneo,learneo,https://gsv.ventures/portfolio/,,https://www.learneo.com,"Learneois pioneering a platform of productivity and learning businesses. The platform of businesses includesCliffsNotes, the original and iconic study guide company;Course Hero, an online learning platform of academic resources;LitCharts, a creator of literature resources;QuillBot, an AI-powered writing companion helping anyone improve their writing skills;Scribbr, a multilingual academic proofreading service, andSymbolab, an AI-based mathematics resource.",,,,,https://gsv.ventures/wp-content/uploads/2020/11/Learneo_Wordmark_FullColor.png,,,,
43,gsv-ventures,LEAD,lead,https://gsv.ventures/portfolio/,K-12,https://leadschool.in/,"LEAD is a major K-12 EdTech player that transforms affordable private schools via its Integrated System. It combines technology, curriculum and pedagogy into an integrated system of teaching and learning, thus improving student learning and teacher performance in schools across the country. LEAD partners with 2000+ schools with an estimated 8 lakh+ students in more than 400 cities, including tier 2 to tier 4 cities, in 20 States.",Series D,,2012,,https://gsv.ventures/wp-content/uploads/2021/04/LOGO-Lead.png,,,,Smita Deorah;Co-Founder & COO; Sumeet Mehta;Co-Founder & CEO
44,gsv-ventures,Learn In,learn-in,https://gsv.ventures/portfolio/,,https://www.learnin.com/,"Learn In is an upskilling-as-a-service platform helping companies with their large-scale, internal upskilling initiatives by helping them manage the financing, time, program selection, and candidate selection considerations across the organization. The Learn In team found the biggest impediment to companies upskilling their people was time, so the company is building a SaaS platform for enterprise that helps companies appropriate time to employees for bootcamps and other upskilling programs.",,,,,https://gsv.ventures/wp-content/uploads/2020/11/gsvventures-portfolio-learnin-logo.png,,,,David Blake;Co-Founder & CEO; Yael Kauffman;Co-Founder & COO; Taylor Blake;Co-Founder & CPO
45,gsv-ventures,Leland,leland,https://gsv.ventures/portfolio/,,https://www.joinleland.com/,"Access coaching, courses, and content powered by thousands of career and admissions experts.",,,,,https://gsv.ventures/wp-content/uploads/2024/11/Leland.png,,,,
